fib                   0.051    0.060    0.058    0.004
parse_int             0.162    0.174    0.167    0.006
mandel                0.191    0.192    0.191    0.000
quicksort             0.328    0.337    0.333    0.003
pi_sum               35.447   35.794   35.583    0.140
rand_mat_stat        14.782   33.866   21.953    8.898
rand_mat_mul         20.902   29.217   27.208    3.543
printfd              18.157   18.883   18.417    0.293
cons                 39.625   74.535   53.414   14.565
randn_zig            16.661   17.079   16.804    0.160
gk                   70.333  165.510  110.633   34.781
sparsemul            23.548   28.599   24.658    2.205
sparsemul2           44.920   58.888   49.098    5.579
sparserange          30.377   49.746   35.672    7.938
matvec                3.828    4.116    3.934    0.112
sortperm             10.798   11.398   11.088    0.293
stockcorr           382.283  406.030  391.754    9.027
bench_eu_vec        103.869  119.421  107.791    6.542
bench_eu_devec       46.025   55.267   48.812    4.107
actorgraph          521.934  556.699  544.818   13.799
laplace_vec        1156.448 1353.815 1274.077  102.536
laplace_devec        75.027   83.337   77.582    3.550
go_benchmark        896.540  916.212  905.153    9.764
simplex              23.446   23.830   23.613    0.166
raytracer          1230.077 1256.516 1242.791   12.624
funarg               78.776  115.544   92.066   14.842
vectorize           100.059  124.229  110.547    8.671
splitline            37.453   61.351   52.711    8.993
json                 15.294   32.629   19.129    7.552
add1                 55.774   68.102   65.211    5.288
devec_add1            5.645    6.700    6.444    0.448
add1_logical         64.760   77.900   73.884    5.209
devec_add1_logical    8.045    9.101    8.326    0.448
hvcat_small          10.679   34.694   15.759   10.588
hvcat_large           3.900   18.858   10.490    6.128
hvcat_setind_small    5.475   24.203   13.200    9.680
hvcat_setind_large    3.604   21.104   11.183    8.656
hcat_small            4.349   23.381   12.218   10.192
hcat_large            2.900   19.734    9.249    7.269
hcat_setind_small     5.115   18.115   10.688    6.438
hcat_setind_large     3.238   13.408    7.903    4.883
vcat_small           13.680   25.553   18.702    6.240
vcat_large            3.397   13.640    8.100    4.773
vcat_setind_small     5.040   21.304   11.297    7.882
vcat_setind_large     3.619   21.564   11.421    8.977
catnd_small         286.620  307.128  299.165    8.076
catnd_large           6.641   20.446   12.112    7.438
catnd_setind_small   27.250   46.810   40.361    7.556
catnd_setind_large    4.545   14.357    8.143    4.668
binary_trees         25.683   26.136   26.031    0.195
fannkuch              0.162    0.165    0.164    0.001
fasta                 0.017    0.020    0.019    0.002
k_nucleotide         53.072   69.442   62.408    8.483
mandelbrot            3.836    3.926    3.865    0.036
meteor_contest     2493.578 2584.755 2539.346   34.027
nbody                 0.173    0.173    0.173    0.000
nbody_vec             6.512   26.230   10.765    8.649
pidigits             55.482   74.639   65.964    9.624
regex_dna             9.670   10.516   10.106    0.376
revcomp               2.133    2.377    2.208    0.106
spectralnorm          1.523    1.526    1.524    0.001
dot_tiny             16.082   18.354   17.409    0.831
dot_small            14.059   31.508   21.129    9.015
dot_medium           23.883   42.548   31.353    9.373
dot_large             4.588    5.464    4.799    0.376
dot_huge             15.638   16.389   15.824    0.318
axpy_tiny            11.782   11.974   11.889    0.090
axpy_small           12.766   13.449   12.921    0.296
axpy_medium          20.320   20.982   20.560    0.264
axpy_large            5.285    5.354    5.306    0.029
axpy_huge            18.593   18.693   18.650    0.047
gemv_tiny           262.238  280.597  272.793    6.722
gemv_small           88.190  101.962   94.165    7.071
gemv_medium          16.264   17.971   16.959    0.678
gemv_large            8.331    8.443    8.396    0.047
gemv_huge            17.888   27.944   20.858    4.030
matmul_tiny         266.092  276.904  271.829    4.335
matmul_small         80.014   84.122   81.944    1.890
matmul_medium       102.257  108.160  104.484    2.224
matmul_large         28.520   33.112   29.729    1.911
realeig_tiny         77.117  101.895   87.692    9.367
realeig_small       141.528  251.742  190.441   42.186
realeig_medium      233.748  259.899  247.261    9.947
realeig_large       327.228  356.889  339.977   11.412
realeig_huge       1331.894 1506.991 1391.176   71.513
symeig_tiny          21.264   40.648   32.195    9.918
symeig_small         71.609   88.567   75.983    7.084
symeig_medium        82.514   97.706   86.881    6.225
symeig_large         45.884   66.117   51.337    8.334
symeig_huge         254.608  273.769  261.808    7.607
hermitianeig_tiny    51.846   55.672   53.043    1.523
hermitianeig_small   92.519  106.745  101.060    7.339
hermitianeig_medium   96.542  110.089  104.435    5.952
hermitianeig_large   63.386   85.706   75.081    9.678
hermitianeig_huge   431.928  452.319  442.349    7.578
choleskytest_tiny    16.470   34.644   23.659    9.211
choleskytest_small    1.740    2.424    1.978    0.308
choleskytest_medium    1.781    2.525    2.127    0.350
choleskytest_large    3.177    3.319    3.260    0.063
choleskytest_huge    32.225   47.442   39.993    5.403
schurtest_tiny      121.222  140.559  129.042    7.971
schurtest_small     106.236  123.062  112.597    6.437
schurtest_medium    193.385  211.022  198.383    7.247
schurtest_large     285.192  310.900  298.417   10.041
schurtest_huge     1160.878 1248.001 1204.471   37.916
svdtest_tiny        108.357  113.171  110.781    2.216
svdtest_small       158.722  178.883  167.104    9.494
svdtest_medium      129.206  143.434  135.831    6.670
svdtest_large        87.641  106.802   94.898    7.869
svdtest_huge        416.619  525.112  466.353   54.347
qrtest_tiny         231.156  246.981  237.389    6.209
qrtest_small        284.543  334.893  306.725   18.388
qrtest_medium       156.768  171.821  167.133    6.091
qrtest_large         12.152   15.827   13.088    1.540
qrtest_huge          47.991   61.868   52.588    5.478
lutest_tiny          45.562   62.631   58.897    7.464
lutest_small         52.885   75.008   64.659   10.571
lutest_medium        40.979   54.742   51.424    5.861
lutest_large         79.862   80.715   80.364    0.335
lutest_huge          28.635   41.943   34.341    4.787
sparse_getindex_small1    0.379    0.463    0.403    0.034
sparse_getindex_small2    0.568    0.627    0.586    0.024
sparse_getindex_small3    0.540    0.550    0.544    0.004
sparse_getindex_medium1    0.696    0.861    0.759    0.067
sparse_getindex_medium2    1.008    1.242    1.092    0.097
sparse_getindex_medium3    0.920    1.017    0.951    0.040
sparse_getindex_small4    0.119    0.134    0.124    0.006
sparse_getindex_small5    0.251    0.277    0.261    0.011
sparse_getindex_small6    1.408    2.114    1.806    0.305
sparse_getindex_small7    0.162    0.166    0.164    0.001
sparse_getindex_small8    0.141    0.145    0.143    0.002
sparse_getindex_small9    0.139    0.152    0.146    0.005
sparse_getindex_small10    1.044    1.055    1.049    0.005
sparse_getindex_small11    3.542    4.032    3.894    0.202
sparse_getindex_small12    3.850    3.956    3.889    0.051
sparse_getindex_small13    0.407    0.629    0.480    0.090
sparse_getindex_small14    0.380    0.477    0.412    0.038
sparse_getindex_small15    1.396    2.109    1.618    0.294
sparse_getindex_small16    0.462    0.536    0.505    0.029
sparse_getindex_small17    0.440    0.619    0.494    0.072
sparse_getindex_small18    0.444    0.506    0.478    0.024
sparse_getindex_small19    8.169    8.868    8.345    0.295
sparse_getindex_small20    6.476    7.254    6.702    0.314
sparse_getindex_small21    7.524    9.370    8.717    0.772
sparse_getindex_small22    0.377    0.412    0.390    0.014
sparse_getindex_small23    0.427    0.501    0.458    0.028
sparse_getindex_small24    1.494    2.083    1.734    0.300
sparse_getindex_small25    0.499    0.581    0.536    0.036
sparse_getindex_small26    0.481    0.560    0.522    0.030
sparse_getindex_small27    0.497    0.600    0.535    0.043
sparse_getindex_small28    8.706    9.505    9.027    0.371
sparse_getindex_small29    7.163    7.895    7.357    0.305
sparse_getindex_small30    7.912    8.711    8.391    0.361
sparse_getindex_medium4    0.169    0.175    0.171    0.003
sparse_getindex_medium5    0.280    0.298    0.290    0.007
sparse_getindex_medium6    1.197    1.738    1.342    0.226
sparse_getindex_medium7    0.159    0.169    0.162    0.004
sparse_getindex_medium8    0.132    0.162    0.141    0.012
sparse_getindex_medium9    0.138    0.148    0.141    0.004
