fib                   0.054    0.054    0.054    0.000
parse_int             0.161    0.170    0.164    0.003
mandel                0.191    0.191    0.191    0.000
quicksort             0.333    0.341    0.337    0.004
pi_sum               35.497   35.822   35.648    0.146
rand_mat_stat        13.495   31.946   20.395    8.432
rand_mat_mul         21.287   29.010   27.012    3.253
printfd              18.180   22.908   19.537    1.953
cons                 39.456   80.118   55.939   16.893
randn_zig            17.598   17.692   17.654    0.035
gk                   70.358  165.355  110.963   34.396
sparsemul            38.758   44.750   40.023    2.643
sparsemul2           48.141   63.118   53.496    5.986
sparserange          35.513   56.487   40.550    8.932
matvec                4.616    4.782    4.673    0.073
sortperm             12.202   12.856   12.471    0.311
stockcorr           378.117  409.085  387.099   13.256
bench_eu_vec         95.196  112.443  100.955    6.905
bench_eu_devec       46.609   49.442   47.378    1.200
actorgraph          515.196  554.137  533.069   15.432
laplace_vec        1103.584 1350.846 1176.206  104.977
laplace_devec        72.936   78.326   74.371    2.258
go_benchmark        911.392  931.863  921.366    7.674
simplex              26.094   26.422   26.258    0.146
raytracer          1232.931 1356.821 1301.806   57.386
funarg               80.613  104.035   89.435   11.515
vectorize            98.227  109.600  101.058    4.851
splitline            38.151   57.542   53.041    8.357
json                 15.264   35.194   19.700    8.668
add1                 60.993   86.129   75.500   10.168
devec_add1            7.581    7.653    7.607    0.029
add1_logical         67.164   85.258   78.973    6.965
devec_add1_logical    8.998    9.151    9.059    0.058
hvcat_small          11.584   40.684   17.640   12.884
hvcat_large           4.308   15.629    9.846    4.900
hvcat_setind_small    5.906   18.941   11.513    6.463
hvcat_setind_large    3.575   14.081    8.179    4.873
hcat_small            4.258   21.975   11.627    9.453
hcat_large            3.045   15.094    8.443    6.044
hcat_setind_small     5.541   23.191   12.910    9.159
hcat_setind_large     3.671   17.712    9.862    6.683
vcat_small           15.463   27.047   20.212    6.225
vcat_large            3.678   14.336    8.546    4.900
vcat_setind_small     6.029   23.649   12.976    9.297
vcat_setind_large     3.931   20.266   10.347    7.442
catnd_small         292.441  315.807  304.577    9.016
catnd_large           8.496   16.518   11.694    3.866
catnd_setind_small   30.059   46.758   41.933    6.733
catnd_setind_large    6.593   16.655   10.605    5.144
binary_trees         24.621   25.797   25.519    0.504
fannkuch              0.169    0.180    0.173    0.004
fasta                 0.018    0.022    0.020    0.002
k_nucleotide         54.123   74.005   64.596    9.195
mandelbrot            3.831    3.928    3.883    0.040
meteor_contest     2583.610 2619.781 2597.080   14.562
nbody                 0.200    0.223    0.206    0.010
nbody_vec             5.551   33.115   11.956   11.848
pidigits             52.161   72.918   64.485   10.804
regex_dna             9.600   10.574   10.139    0.394
revcomp               2.148    2.227    2.171    0.035
spectralnorm          1.522    1.571    1.538    0.022
dot_tiny             16.910   17.405   17.172    0.195
dot_small            13.775   34.849   22.411   10.846
dot_medium           21.880   42.107   30.285   10.680
dot_large             4.794    5.417    5.125    0.270
dot_huge             15.549   15.859   15.678    0.149
axpy_tiny            11.716   12.919   12.075    0.479
axpy_small           12.661   12.813   12.744    0.059
axpy_medium          20.113   25.032   21.185    2.158
axpy_large            5.257    5.330    5.274    0.031
axpy_huge            18.680   19.024   18.790    0.150
gemv_tiny           263.161  287.564  279.155    9.324
gemv_small           87.416  101.906   93.520    7.502
gemv_medium          15.996   17.805   16.942    0.746
gemv_large            8.418    9.101    8.569    0.298
gemv_huge            17.441   28.236   20.958    4.188
matmul_tiny         272.987  278.931  275.306    2.455
matmul_small         84.725   87.020   85.745    0.952
matmul_medium       102.532  132.919  109.365   13.180
matmul_large         28.544   29.234   28.967    0.299
realeig_tiny         72.288   96.845   84.262   10.252
realeig_small       136.237  164.319  149.501   10.079
realeig_medium      236.065  251.219  243.407    6.031
realeig_large       332.154  353.170  340.560    8.450
realeig_huge       1344.492 1447.828 1389.206   40.846
symeig_tiny          22.314   39.704   32.288    9.026
symeig_small         72.389   88.153   76.206    6.708
symeig_medium        81.845   98.442   86.347    6.864
symeig_large         46.365   63.821   50.968    7.278
symeig_huge         251.231  268.897  262.144    7.307
hermitianeig_tiny    50.959   51.535   51.237    0.251
hermitianeig_small   91.450  105.535   99.955    6.829
hermitianeig_medium   95.209  110.595  103.517    7.420
hermitianeig_large   62.852   85.721   74.361   10.505
hermitianeig_huge   409.595  437.987  427.409   11.560
choleskytest_tiny    16.334   34.185   23.327    8.811
choleskytest_small    1.767    2.454    2.005    0.302
choleskytest_medium    1.773    2.466    2.093    0.294
choleskytest_large    3.157    3.315    3.242    0.056
choleskytest_huge    29.923   46.153   37.425    5.773
schurtest_tiny      117.474  133.983  127.101    8.778
schurtest_small     104.403  119.118  111.779    5.868
schurtest_medium    193.542  207.932  199.059    5.587
schurtest_large     284.114  312.067  298.960   11.171
schurtest_huge     1158.244 1216.053 1192.306   23.759
svdtest_tiny         98.346  105.384  103.110    2.797
svdtest_small       159.012  177.268  166.187    8.705
svdtest_medium      128.685  142.425  135.650    6.365
svdtest_large        87.179  105.683   94.524    7.613
svdtest_huge        406.301  428.997  411.132    9.994
qrtest_tiny         235.853  239.983  236.936    1.715
qrtest_small        280.710  297.942  293.541    7.353
qrtest_medium       155.276  170.506  165.836    6.065
qrtest_large         12.069   12.252   12.158    0.067
qrtest_huge          46.261   62.060   51.971    6.030
lutest_tiny          46.843   66.436   62.069    8.523
lutest_small         55.102   70.926   64.054    8.016
lutest_medium        40.743   54.631   50.586    5.663
lutest_large         79.047   80.578   79.904    0.558
lutest_huge          27.499   39.855   33.117    4.399
sparse_getindex_small1    0.397    0.404    0.400    0.003
sparse_getindex_small2    0.557    0.601    0.572    0.019
sparse_getindex_small3    0.543    0.565    0.548    0.009
sparse_getindex_medium1    0.730    0.959    0.861    0.099
sparse_getindex_medium2    1.095    1.205    1.157    0.048
sparse_getindex_medium3    0.998    1.127    1.029    0.055
sparse_getindex_small4    0.114    0.132    0.121    0.007
sparse_getindex_small5    0.286    0.320    0.298    0.015
sparse_getindex_small6    1.403    2.135    1.570    0.317
sparse_getindex_small7    0.176    0.181    0.179    0.002
sparse_getindex_small8    0.157    0.162    0.160    0.002
sparse_getindex_small9    0.153    0.165    0.158    0.005
sparse_getindex_small10    1.007    1.013    1.009    0.003
sparse_getindex_small11    3.745    3.979    3.811    0.096
sparse_getindex_small12    4.002    4.693    4.174    0.292
sparse_getindex_small13    0.400    0.518    0.444    0.047
sparse_getindex_small14    0.398    0.417    0.404    0.008
sparse_getindex_small15    1.588    2.109    1.775    0.220
sparse_getindex_small16    0.510    0.588    0.558    0.030
sparse_getindex_small17    0.518    0.628    0.556    0.044
sparse_getindex_small18    0.538    0.597    0.571    0.024
sparse_getindex_small19    7.561    8.236    7.730    0.285
sparse_getindex_small20    7.000    7.772    7.209    0.317
sparse_getindex_small21    8.413   10.039    9.238    0.683
sparse_getindex_small22    0.383    0.419    0.396    0.014
sparse_getindex_small23    0.465    0.500    0.477    0.014
sparse_getindex_small24    1.692    2.438    2.246    0.311
sparse_getindex_small25    0.577    0.652    0.610    0.034
sparse_getindex_small26    0.568    0.663    0.618    0.036
sparse_getindex_small27    0.573    0.654    0.600    0.034
sparse_getindex_small28    8.925    9.628    9.102    0.298
sparse_getindex_small29    7.615    8.922    8.000    0.560
sparse_getindex_small30    8.755    9.260    9.087    0.206
sparse_getindex_medium4    0.191    0.196    0.194    0.002
sparse_getindex_medium5    0.296    0.333    0.314    0.016
sparse_getindex_medium6    1.578    2.587    2.046    0.431
sparse_getindex_medium7    0.180    0.190    0.183    0.004
sparse_getindex_medium8    0.165    0.177    0.170    0.005
sparse_getindex_medium9    0.158    0.172    0.163    0.006
sparse_getindex_medium10    0.923    0.929    0.925    0.002
sparse_getindex_medium11    3.091    3.433    3.224    0.126
sparse_getindex_medium12    3.058    3.087    3.066    0.012
sparse_getindex_medium13    0.636    0.654    0.644    0.007
sparse_getindex_medium14    0.317    0.325    0.320    0.004
sparse_getindex_medium15    1.501    2.348    1.856    0.376
sparse_getindex_medium16    0.510    0.663    0.558    0.060
sparse_getindex_medium17    0.546    1.167    0.969    0.261
sparse_getindex_medium18    0.478    0.651    0.580    0.064
sparse_getindex_medium19    7.005    7.092    7.047    0.038
sparse_getindex_medium20    3.252    3.446    3.337    0.072
sparse_getindex_medium21    3.203    3.280    3.224    0.033
sparse_getindex_medium22    0.550    0.654    0.578    0.044
sparse_getindex_medium23    0.315    0.325    0.321    0.004
sparse_getindex_medium24    1.421    1.509    1.448    0.035
sparse_getindex_medium25    0.574    0.688    0.618    0.047
sparse_getindex_medium26    0.601    0.642    0.624    0.017
sparse_getindex_medium27    0.508    0.586    0.555    0.031
sparse_getindex_medium28    8.581    8.650    8.596    0.030
sparse_getindex_medium29    3.539    3.589    3.555    0.020
sparse_getindex_medium30    3.650    3.779    3.703    0.053
sparse_getindex_small31  102.894  103.300  103.046    0.158
sparse_getindex_small32    0.081    0.083    0.082    0.001
sparse_getindex_small33    0.080    0.083    0.081    0.001
sparse_getindex_small34    0.085    0.098    0.093    0.005
sparse_getindex_small35  102.655  107.630  104.199    2.177
sparse_getindex_small36    0.200    0.201    0.201    0.001
sparse_getindex_small37    0.190    0.204    0.198    0.006
sparse_getindex_small38    0.191    0.191    0.191    0.000
sparse_getindex_small39  103.955  110.777  105.443    2.985
sparse_getindex_small40    0.191    0.193    0.192    0.001
sparse_getindex_small41    0.202    0.205    0.203    0.001
sparse_getindex_small42    0.221    0.240    0.236    0.008
sparse_getindex_medium31    0.079    0.084    0.080    0.002
sparse_getindex_medium32    0.104    0.114    0.106    0.004
sparse_getindex_medium33    0.076    0.077    0.077    0.000
sparse_getindex_medium34    0.193    0.194    0.193    0.000
sparse_getindex_medium35    0.183    0.184    0.184    0.000
sparse_getindex_medium36    0.179    0.180    0.179    0.000
sparse_getindex_medium37    0.176    0.178    0.177    0.001
sparse_getindex_medium38    0.195    0.199    0.196    0.002
sparse_getindex_medium39    0.241    0.261    0.247    0.008
