fib                   0.056    0.056    0.056    0.000
parse_int             0.274    0.290    0.282    0.008
mandel                0.248    0.275    0.257    0.013
quicksort             0.471    0.480    0.474    0.004
pi_sum               19.278   23.736   20.277    1.940
rand_mat_stat        16.653   36.616   24.120    9.521
rand_mat_mul         23.782   31.356   29.738    3.332
printfd              33.639   34.765   34.275    0.409
cons                 42.258   81.789   58.099   16.443
randn_zig            20.559   25.095   21.519    2.000
gk                   84.996  260.638  161.146   63.199
sparsemul           107.522  111.314  108.630    1.531
sparsemul2           65.361   79.196   70.111    5.557
sparserange          60.690   81.006   65.368    8.770
matvec               11.372   11.759   11.547    0.139
sortperm             27.156   31.873   28.318    2.001
stockcorr           821.615  876.098  844.959   23.981
bench_eu_vec        160.356  177.433  170.060    7.076
bench_eu_devec       70.077   77.470   73.798    3.281
actorgraph          637.926  707.893  664.542   30.708
laplace_vec        2105.321 2162.566 2125.601   25.331
laplace_devec       181.770  186.370  183.673    2.207
go_benchmark       1228.185 1257.819 1247.587   11.367
simplex              52.371   61.098   55.662    3.547
raytracer          1560.141 1592.924 1577.752   13.315
funarg               85.145  108.822   95.452   10.533
vectorize           264.956  296.352  274.035   12.904
splitline            43.024   64.469   58.576    8.779
json                 16.664   34.761   20.707    7.874
add1                105.787  121.747  116.743    6.352
devec_add1           19.486   20.344   19.856    0.387
add1_logical        168.224  183.889  180.207    6.770
devec_add1_logical   35.359   35.569   35.447    0.082
hvcat_small          20.866   47.927   26.423   12.021
hvcat_large          11.264   28.510   19.620    8.005
hvcat_setind_small   14.593   32.057   21.725    9.297
hvcat_setind_large   10.212   23.039   16.003    6.265
hcat_small            5.374   17.103   10.108    5.434
hcat_large            3.631   16.666    9.325    6.311
hcat_setind_small    14.276   30.021   20.862    8.279
hcat_setind_large     9.958   23.642   16.367    6.562
vcat_small           25.212   39.495   31.336    6.488
vcat_large           10.421   24.305   16.456    6.854
vcat_setind_small    14.874   28.481   21.011    6.418
vcat_setind_large    10.187   23.018   15.930    6.301
catnd_small         316.771  333.632  327.731    6.872
catnd_large          18.321   28.575   22.210    5.068
catnd_setind_small   43.390   59.855   55.947    7.051
catnd_setind_large   16.384   26.783   20.641    5.605
binary_trees         25.371   26.387   26.023    0.448
fannkuch              0.351    0.354    0.352    0.001
fasta                 0.016    0.018    0.017    0.001
k_nucleotide         64.128   82.498   74.581    9.245
mandelbrot            7.837   10.994    8.655    1.363
meteor_contest     2623.328 2663.041 2637.341   15.383
nbody                 0.364    0.370    0.366    0.002
nbody_vec             7.892   27.917   12.214    8.783
pidigits             53.160   76.448   65.555   10.643
regex_dna            10.189   10.846   10.499    0.296
revcomp               2.345    2.376    2.358    0.014
spectralnorm          2.973    3.096    3.031    0.058
dot_tiny             20.174   22.069   20.857    0.775
dot_small            18.198   41.017   27.624   11.857
dot_medium           25.714   48.543   34.686   11.853
dot_large             4.905    5.186    4.993    0.114
dot_huge             15.841   16.509   16.066    0.263
axpy_tiny            12.761   12.888   12.823    0.048
axpy_small           14.681   14.805   14.738    0.044
axpy_medium          22.345   24.052   22.984    0.693
axpy_large            5.476    5.533    5.498    0.027
axpy_huge            18.837   22.334   19.792    1.490
gemv_tiny           276.750  299.923  287.137   11.121
gemv_small           86.081  100.193   91.614    6.945
gemv_medium          16.406   17.495   17.022    0.482
gemv_large            8.501    9.570    8.918    0.482
gemv_huge            20.147   29.735   22.757    3.942
matmul_tiny         304.260  322.822  314.387    6.863
matmul_small         85.250   90.243   87.411    2.117
matmul_medium       103.164  109.630  105.538    2.580
matmul_large         30.128   31.507   30.743    0.575
realeig_tiny        230.705  250.284  240.556    9.191
realeig_small       164.238  176.104  172.299    4.971
realeig_medium      243.306  262.662  252.387    7.892
realeig_large       340.345  361.693  349.104    9.012
realeig_huge       1376.489 1495.594 1426.654   50.152
symeig_tiny          22.528   43.099   34.052   10.565
symeig_small         72.990   93.196   77.699    8.714
symeig_medium        83.985   99.832   88.937    6.286
symeig_large         48.614   66.710   52.961    7.726
symeig_huge         271.886  293.846  279.778    8.782
hermitianeig_tiny    53.550   58.161   55.751    1.679
hermitianeig_small   95.800  116.485  107.321    7.431
hermitianeig_medium   99.130  114.584  107.708    7.624
hermitianeig_large   67.335   90.110   79.097   10.695
hermitianeig_huge   465.916  507.988  484.204   15.726
choleskytest_tiny    18.171   39.139   26.418   10.559
choleskytest_small    1.843    2.524    2.106    0.311
choleskytest_medium    1.778    2.326    1.981    0.221
choleskytest_large    3.434    3.580    3.511    0.056
choleskytest_huge    33.326   52.810   42.643    6.922
schurtest_tiny      436.691  460.800  448.740   10.775
schurtest_small     120.314  135.861  127.364    6.040
schurtest_medium    193.367  209.827  199.347    6.190
schurtest_large     285.626  311.056  298.598   10.754
schurtest_huge     1169.573 1229.467 1203.068   25.184
svdtest_tiny        105.374  109.861  107.031    1.741
svdtest_small       159.384  188.214  170.299   12.569
svdtest_medium      126.726  154.392  141.683   10.319
svdtest_large        86.714  105.579   94.543    7.866
svdtest_huge        417.053  530.461  467.552   57.600
qrtest_tiny         209.381  241.260  232.722   13.146
qrtest_small        282.300  331.663  302.296   18.800
qrtest_medium       157.087  168.430  164.513    4.476
qrtest_large         12.154   12.734   12.382    0.219
qrtest_huge          48.805   63.460   54.077    5.553
lutest_tiny          51.551   67.548   64.140    7.049
lutest_small         55.978   75.231   66.917    9.582
lutest_medium        41.095   55.105   50.499    5.429
lutest_large         80.692   81.413   81.119    0.347
lutest_huge          29.793   45.745   36.669    5.747
sparse_getindex_small1    0.530    0.567    0.544    0.014
sparse_getindex_small2    0.760    0.817    0.777    0.023
sparse_getindex_small3    0.743    0.769    0.750    0.011
sparse_getindex_medium1    1.001    1.237    1.125    0.093
sparse_getindex_medium2    1.720    1.964    1.794    0.100
sparse_getindex_medium3    1.410    1.627    1.483    0.092
sparse_getindex_small4    0.181    0.204    0.189    0.009
sparse_getindex_small5    0.659    0.688    0.668    0.013
sparse_getindex_small6    3.304    3.899    3.484    0.243
sparse_getindex_small7    0.325    0.357    0.345    0.013
sparse_getindex_small8    0.305    0.320    0.313    0.006
sparse_getindex_small9    0.298    0.407    0.338    0.045
sparse_getindex_small10    2.409    2.414    2.411    0.003
sparse_getindex_small11    9.211    9.310    9.253    0.044
sparse_getindex_small12   10.377   11.049   10.538    0.287
sparse_getindex_small13    0.796    0.966    0.855    0.070
sparse_getindex_small14    0.837    0.919    0.869    0.031
sparse_getindex_small15    3.728    4.368    4.027    0.311
sparse_getindex_small16    1.299    1.533    1.437    0.087
sparse_getindex_small17    1.319    1.616    1.446    0.123
sparse_getindex_small18    1.356    1.543    1.474    0.074
sparse_getindex_small19   19.216   20.151   19.659    0.425
sparse_getindex_small20   13.129   13.783   13.424    0.328
sparse_getindex_small21   15.995   17.989   16.975    0.715
sparse_getindex_small22    0.822    0.892    0.846    0.028
sparse_getindex_small23    0.878    0.927    0.900    0.018
sparse_getindex_small24    3.633    4.348    3.835    0.298
sparse_getindex_small25    1.597    2.178    1.850    0.223
sparse_getindex_small26    1.456    1.727    1.585    0.104
sparse_getindex_small27    1.428    1.703    1.543    0.108
sparse_getindex_small28   19.937   20.855   20.409    0.385
sparse_getindex_small29   14.170   15.437   14.689    0.661
sparse_getindex_small30   17.448   18.390   17.956    0.424
sparse_getindex_medium4    0.235    0.243    0.238    0.003
sparse_getindex_medium5    0.680    0.729    0.692    0.021
sparse_getindex_medium6    3.329    4.179    3.585    0.342
sparse_getindex_medium7    0.339    0.371    0.348    0.013
sparse_getindex_medium8    0.313    0.338    0.325    0.009
sparse_getindex_medium9    0.306    0.349    0.321    0.016
sparse_getindex_medium10    2.246    2.325    2.286    0.034
sparse_getindex_medium11    8.515    8.579    8.536    0.026
sparse_getindex_medium12    9.568   10.505    9.890    0.365
sparse_getindex_medium13    0.801    0.810    0.805    0.004
sparse_getindex_medium14    0.702    0.709    0.704    0.003
sparse_getindex_medium15    3.306    4.018    3.491    0.302
sparse_getindex_medium16    1.320    1.586    1.421    0.099
sparse_getindex_medium17    1.351    1.460    1.411    0.047
sparse_getindex_medium18    1.295    1.668    1.561    0.153
sparse_getindex_medium19   18.389   18.709   18.547    0.147
sparse_getindex_medium20    8.601    9.496    8.827    0.381
sparse_getindex_medium21    9.570   10.008    9.765    0.172
sparse_getindex_medium22    0.880    1.005    0.921    0.056
sparse_getindex_medium23    0.732    0.770    0.743    0.016
sparse_getindex_medium24    3.383    3.434    3.403    0.022
sparse_getindex_medium25    1.489    1.752    1.585    0.122
sparse_getindex_medium26    1.569    1.692    1.639    0.048
sparse_getindex_medium27    1.308    1.534    1.457    0.095
sparse_getindex_medium28   19.536   19.720   19.614    0.077
sparse_getindex_medium29    9.927   12.794   10.559    1.251
sparse_getindex_medium30   10.922   11.171   11.008    0.102
sparse_getindex_small31  146.380  147.457  146.928    0.419
sparse_getindex_small32    0.152    0.154    0.153    0.001
sparse_getindex_small33    0.146    0.155    0.148    0.004
sparse_getindex_small34    0.146    0.147    0.147    0.000
sparse_getindex_small35  140.909  141.830  141.280    0.401
sparse_getindex_small36    0.841    0.842    0.842    0.000
sparse_getindex_small37    0.835    0.840    0.836    0.002
sparse_getindex_small38    0.805    0.809    0.806    0.002
sparse_getindex_small39  136.845  140.307  137.856    1.431
sparse_getindex_small40    0.825    0.827    0.826    0.001
sparse_getindex_small41    0.816    0.823    0.819    0.003
sparse_getindex_small42    0.814    0.882    0.838    0.032
sparse_getindex_medium31    0.144    0.145    0.144    0.000
sparse_getindex_medium32    0.137    0.138    0.138    0.001
sparse_getindex_medium33    0.164    0.166    0.165    0.001
sparse_getindex_medium34    0.819    0.824    0.820    0.002
sparse_getindex_medium35    0.811    0.817    0.813    0.002
sparse_getindex_medium36    0.812    0.987    0.884    0.074
sparse_getindex_medium37    0.803    0.825    0.808    0.010
sparse_getindex_medium38    0.791    0.920    0.838    0.054
sparse_getindex_medium39    0.787    0.789    0.788    0.001
